ID,Age,Height,Weight,Year,Event,F,M,Bronze,Gold,Silver,Medal_Earned,Olympic_Years,IEM,IEM_Bronze,IEM_Silver,IEM_Gold,ISM,ISM_Bronze,ISM_Silver,ISM_Gold,Opponents,OEM,OEM_Bronze,OEM_Silver,OEM_Gold,OSM,OSM_Bronze,OSM_Silver,OSM_Gold
894,29.0,162.0,92.0,2016,Weightlifting Men's Middle-Heavyweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
939,31.0,163.0,69.0,2008,Weightlifting Men's Lightweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0
945,17.0,177.0,73.0,1960,Weightlifting Men's Middleweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021,35.0,176.0,120.0,1960,Weightlifting Men's Heavyweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1033,27.0,154.0,52.0,1980,Weightlifting Men's Flyweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1278,27.0,163.0,75.0,2004,Weightlifting Women's Heavyweight,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1278,31.0,163.0,75.0,2008,Weightlifting Women's Heavyweight,1,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301,21.0,147.0,47.0,2016,Weightlifting Women's Flyweight,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0
1392,17.0,150.0,63.0,2016,Weightlifting Women's Middleweight,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1550,17.0,163.0,69.0,2004,Weightlifting Women's Light-Heavyweight,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1558,26.0,175.0,90.0,1980,Weightlifting Men's Light-Heavyweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1558,30.0,175.0,90.0,1984,Weightlifting Men's Middle-Heavyweight,0,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1657,21.0,175.0,105.0,2000,Weightlifting Men's Middle-Heavyweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0
1657,25.0,175.0,105.0,2004,Weightlifting Men's Middle-Heavyweight,0,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0
1657,29.0,175.0,105.0,2008,Weightlifting Men's Heavyweight,0,1,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1698,19.0,178.0,105.0,2004,Weightlifting Men's Middle-Heavyweight,0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0
1698,23.0,178.0,105.0,2008,Weightlifting Men's Middle-Heavyweight,0,1,1,0,0,1,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,16.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1815,15.0,165.0,67.0,1988,Weightlifting Men's Flyweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1815,27.0,165.0,67.0,2000,Weightlifting Men's Light-Heavyweight,0,1,0,0,0,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,2.0,2.0,4.0,0.0,2.0,2.0
1816,17.0,168.0,67.0,1988,Weightlifting Men's Lightweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0
1821,28.0,158.0,69.0,2004,Weightlifting Men's Lightweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0
1822,21.0,167.0,69.0,2004,Weightlifting Men's Lightweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0
1826,24.0,160.0,57.0,2016,Weightlifting Women's Lightweight,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1886,22.0,163.0,69.0,2016,Weightlifting Men's Lightweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0
2022,22.0,170.0,85.0,2004,Weightlifting Men's Middle-Heavyweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0
2096,31.0,173.0,94.0,2012,Weightlifting Men's Middle-Heavyweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2104,31.0,177.0,94.0,2004,Weightlifting Men's Middle-Heavyweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0
2205,29.0,169.0,71.5,1972,Weightlifting Men's Middleweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2205,33.0,169.0,71.5,1976,Weightlifting Men's Middleweight,0,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2251,26.0,158.0,60.0,1960,Weightlifting Men's Featherweight,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2251,30.0,158.0,60.0,1964,Weightlifting Men's Featherweight,0,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0
2251,34.0,158.0,60.0,1968,Weightlifting Men's Lightweight,0,1,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0
